	POS	dependency_head	dependency_label	doc_token_number	lemma	ne_info	sentence_number	sentence_token_number	token	cue_label
0	DT	2	det	1	a	O	1	1	A	0
1	NN	13	nsubj	2	form	O	1	2	form	0
2	IN	4	case	3	of	O	1	3	of	0
3	NN	2	nmod	4	asbesto	O	1	4	asbestos	0
4	RB	6	advmod	5	once	O	1	5	once	0
5	VBD	35	ccomp	6	use	O	1	6	used	0
6	TO	8	mark	7	to	O	1	7	to	0
7	VB	6	xcomp	8	make	O	1	8	make	0
8	NNP	11	compound	9	Kent	S-GPE	1	9	Kent	0
9	NN	11	compound	10	cigarette	O	1	10	cigarette	0
10	NNS	8	obj	11	filter	O	1	11	filters	0
11	VBZ	13	aux	12	have	O	1	12	has	0
12	VBN	6	xcomp	13	cause	O	1	13	caused	0
13	DT	16	det	14	a	O	1	14	a	0
14	JJ	16	amod	15	high	O	1	15	high	0
15	NN	13	obj	16	percentage	O	1	16	percentage	0
16	IN	19	case	17	of	O	1	17	of	0
17	NN	19	compound	18	cancer	O	1	18	cancer	0
18	NNS	16	nmod	19	death	O	1	19	deaths	0
19	IN	22	case	20	among	O	1	20	among	0
20	DT	22	det	21	a	O	1	21	a	0
21	NN	16	nmod	22	group	O	1	22	group	0
22	IN	24	case	23	of	O	1	23	of	0
23	NNS	22	nmod	24	worker	O	1	24	workers	0
24	VBN	24	acl	25	expose	O	1	25	exposed	0
25	IN	27	case	26	to	O	1	26	to	0
26	PRP	25	obl	27	it	O	1	27	it	0
27	JJR	30	advmod	28	more	B-DATE	1	28	more	0
28	IN	28	fixed	29	than	I-DATE	1	29	than	0
29	CD	31	nummod	30	30	I-DATE	1	30	30	0
30	NNS	32	obl:npmod	31	year	I-DATE	1	31	years	0
31	RB	25	advmod	32	ago	E-DATE	1	32	ago	0
32	,	35	punct	33	,	O	1	33	,	0
33	NNS	35	nsubj	34	researcher	O	1	34	researchers	0
34	VBD	0	root	35	report	O	1	35	reported	1
35	.	35	punct	36	.	O	1	36	.	0
36	DT	3	det	37	the	O	2	1	The	0
37	NN	3	compound	38	asbesto	O	2	2	asbestos	0
38	NN	9	nsubj	39	fiber	O	2	3	fiber	0
39	,	3	punct	40	,	O	2	4	,	0
40	NN	3	appos	41	crocidolite	O	2	5	crocidolite	0
41	,	9	punct	42	,	O	2	6	,	0
42	VBZ	9	cop	43	be	O	2	7	is	0
43	RB	9	advmod	44	unusually	O	2	8	unusually	0
44	JJ	31	ccomp	45	resilient	O	2	9	resilient	0
45	IN	12	mark	46	once	O	2	10	once	0
46	PRP	12	nsubj	47	it	O	2	11	it	0
47	VBZ	9	advcl	48	enter	O	2	12	enters	0
48	DT	14	det	49	the	O	2	13	the	0
49	NNS	12	obj	50	lung	O	2	14	lungs	0
50	,	12	punct	51	,	O	2	15	,	0
51	IN	19	case	52	with	O	2	16	with	0
52	RB	19	advmod	53	even	O	2	17	even	0
53	JJ	19	amod	54	brief	O	2	18	brief	0
54	NNS	12	obl	55	exposure	O	2	19	exposures	0
55	IN	21	case	56	to	O	2	20	to	0
56	PRP	19	nmod	57	it	O	2	21	it	0
57	VBG	19	acl	58	cause	O	2	22	causing	0
58	NNS	22	obj	59	symptom	O	2	23	symptoms	0
59	WDT	25	nsubj	60	that	O	2	24	that	0
60	VBP	23	acl:relcl	61	show	O	2	25	show	0
61	RP	25	compound:prt	62	up	O	2	26	up	0
62	NNS	28	obl:npmod	63	decade	B-DATE	2	27	decades	0
63	RB	25	advmod	64	later	E-DATE	2	28	later	0
64	,	31	punct	65	,	O	2	29	,	0
65	NNS	31	nsubj	66	researcher	O	2	30	researchers	0
66	VBD	0	root	67	say	O	2	31	said	1
67	.	31	punct	68	.	O	2	32	.	0
68	NNP	2	compound	69	Lorillard	B-ORG	3	1	Lorillard	0
69	NNP	16	nsubj	70	Inc.	E-ORG	3	2	Inc.	0
70	,	2	punct	71	,	O	3	3	,	0
71	DT	5	det	72	the	O	3	4	the	0
72	NN	2	appos	73	unit	O	3	5	unit	0
73	IN	10	case	74	of	O	3	6	of	0
74	NNP	8	compound	75	New	B-ORG	3	7	New	0
75	NNP	10	compound	76	York-based	I-ORG	3	8	York-based	0
76	NNP	10	compound	77	Loews	I-ORG	3	9	Loews	0
77	NNP	5	nmod	78	Corp.	E-ORG	3	10	Corp.	0
78	WDT	12	nsubj	79	that	O	3	11	that	0
79	VBZ	10	acl:relcl	80	make	O	3	12	makes	0
80	NNP	14	compound	81	Kent	S-ORG	3	13	Kent	0
81	NNS	12	obj	82	cigarette	O	3	14	cigarettes	0
82	,	16	punct	83	,	O	3	15	,	0
83	VBD	0	root	84	stop	O	3	16	stopped	0
84	VBG	16	xcomp	85	use	O	3	17	using	0
85	NN	17	obj	86	crocidolite	O	3	18	crocidolite	0
86	IN	23	case	87	in	O	3	19	in	0
87	PRP$	23	nmod:poss	88	its	O	3	20	its	0
88	NNP	22	compound	89	Micronite	S-PRODUCT	3	21	Micronite	0
89	NN	23	compound	90	cigarette	O	3	22	cigarette	0
90	NNS	17	obl	91	filter	O	3	23	filters	0
91	IN	25	case	92	in	O	3	24	in	0
92	CD	17	obl	93	1956	S-DATE	3	25	1956	0
93	.	16	punct	94	.	O	3	26	.	0
94	IN	5	mark	95	although	O	4	1	Although	0
95	JJ	3	amod	96	preliminary	O	4	2	preliminary	0
96	NNS	5	nsubj:pass	97	finding	O	4	3	findings	0
97	VBD	5	aux:pass	98	be	O	4	4	were	0
98	VBN	15	advcl	99	report	O	4	5	reported	0
99	JJR	9	advmod	100	more	B-DATE	4	6	more	0
100	IN	6	fixed	101	than	I-DATE	4	7	than	0
101	DT	9	det	102	a	I-DATE	4	8	a	0
102	NN	10	obl:npmod	103	year	I-DATE	4	9	year	0
103	RB	5	advmod	104	ago	E-DATE	4	10	ago	0
104	,	15	punct	105	,	O	4	11	,	0
105	DT	14	det	106	the	O	4	12	the	0
106	JJS	14	amod	107	latest	O	4	13	latest	0
107	NNS	15	nsubj	108	result	O	4	14	results	0
108	VBP	0	root	109	appear	O	4	15	appear	0
109	IN	21	case	110	in	O	4	16	in	0
110	NN	21	nmod:poss	111	today	S-DATE	4	17	today	0
111	POS	17	case	112	's	O	4	18	's	0
112	NNP	20	compound	113	New	B-ORG	4	19	New	0
113	NNP	21	compound	114	England	I-ORG	4	20	England	0
114	NNP	15	obl	115	Journal	I-ORG	4	21	Journal	0
115	IN	23	case	116	of	I-ORG	4	22	of	0
116	NNP	21	nmod	117	Medicine	E-ORG	4	23	Medicine	0
117	,	21	punct	118	,	O	4	24	,	0
118	DT	26	det	119	a	O	4	25	a	0
119	NN	21	appos	120	forum	O	4	26	forum	0
120	JJ	26	amod	121	likely	O	4	27	likely	0
121	TO	29	mark	122	to	O	4	28	to	0
122	VB	27	xcomp	123	bring	O	4	29	bring	0
123	JJ	31	amod	124	new	O	4	30	new	0
124	NN	29	obj	125	attention	O	4	31	attention	0
125	IN	34	case	126	to	O	4	32	to	0
126	DT	34	det	127	the	O	4	33	the	0
127	NN	29	obl	128	problem	O	4	34	problem	0
128	.	15	punct	129	.	O	4	35	.	0
129	DT	3	det	130	a	O	5	1	A	0
130	NNP	3	compound	131	Lorillard	S-ORG	5	2	Lorillard	0
131	NN	4	nsubj	132	spokewoman	O	5	3	spokewoman	0
132	VBD	0	root	133	say	O	5	4	said	1
133	,	4	punct	134	,	O	5	5	,	0
134	``	4	punct	135	``	O	5	6	``	0
135	DT	11	nsubj	136	this	O	5	7	This	0
136	VBZ	11	cop	137	be	O	5	8	is	0
137	DT	11	det	138	a	O	5	9	an	0
138	JJ	11	amod	139	old	O	5	10	old	0
