	POS	dependency_head	dependency_label	doc_token_number	lemma	ne_info	sentence_number	sentence_token_number	token	cue_label	attribution
0	NNP	24	nsubj:pass	1	J.P.	B-PERSON	1	1	J.P.	0	0
1	NNP	1	flat	2	Bolduc	E-PERSON	1	2	Bolduc	0	0
2	,	1	punct	3	,	O	1	3	,	0	0
3	NN	5	compound	4	vice	O	1	4	vice	0	0
4	NN	1	appos	5	chairman	O	1	5	chairman	0	0
5	IN	7	case	6	of	O	1	6	of	0	0
6	NNP	5	nmod	7	W.R.	B-ORG	1	7	W.R.	0	0
7	NNP	7	flat	8	Grace	I-ORG	1	8	Grace	0	0
8	NNP	7	flat	9	&amp;	I-ORG	1	9	&amp;	0	0
9	NNP	7	flat	10	Co.	E-ORG	1	10	Co.	0	0
10	,	1	punct	11	,	O	1	11	,	0	0
11	WDT	13	nsubj	12	which	O	1	12	which	0	0
12	VBZ	1	acl:relcl	13	hold	O	1	13	holds	0	0
13	DT	17	det	14	a	O	1	14	a	0	0
14	CD	16	nummod	15	83.4	B-PERCENT	1	15	83.4	0	0
15	NN	17	compound	16	%	E-PERCENT	1	16	%	0	0
16	NN	13	obj	17	interest	O	1	17	interest	0	0
17	IN	21	case	18	in	O	1	18	in	0	0
18	DT	21	det	19	this	O	1	19	this	0	0
19	NNS	21	compound	20	energy-service	O	1	20	energy-services	0	0
20	NN	17	nmod	21	company	O	1	21	company	0	0
21	,	24	punct	22	,	O	1	22	,	0	0
22	VBD	24	aux:pass	23	be	O	1	23	was	0	0
23	VBN	0	root	24	elect	O	1	24	elected	0	0
24	DT	26	det	25	a	O	1	25	a	0	0
25	NN	24	obj	26	director	O	1	26	director	0	0
26	.	24	punct	27	.	O	1	27	.	0	0
27	PRP	2	nsubj	28	he	O	2	1	He	0	0
28	VBZ	0	root	29	succeed	O	2	2	succeeds	0	0
29	NNP	2	obj	30	Terrence	B-PERSON	2	3	Terrence	0	0
30	NNP	3	flat	31	D.	I-PERSON	2	4	D.	0	0
31	NNP	3	flat	32	Daniels	E-PERSON	2	5	Daniels	0	0
32	,	3	punct	33	,	O	2	6	,	0	0
33	RB	12	advmod	34	formerly	O	2	7	formerly	0	0
34	DT	12	det	35	a	O	2	8	a	0	0
35	NNP	12	compound	36	W.R.	B-ORG	2	9	W.R.	0	0
36	NNP	9	flat	37	Grace	E-ORG	2	10	Grace	0	0
37	NN	12	compound	38	vice	O	2	11	vice	0	0
38	NN	3	appos	39	chairman	O	2	12	chairman	0	0
39	,	3	punct	40	,	O	2	13	,	0	0
40	WP	15	nsubj	41	who	O	2	14	who	0	0
41	VBD	12	acl:relcl	42	resign	O	2	15	resigned	0	0
42	.	2	punct	43	.	O	2	16	.	0	0
43	NNP	3	nsubj	44	W.R.	B-PERSON	3	1	W.R.	0	0
44	NNP	1	flat	45	Grace	E-PERSON	3	2	Grace	0	0
45	VBZ	0	root	46	hold	O	3	3	holds	0	0
46	CD	3	obj	47	three	S-CARDINAL	3	4	three	0	0
47	IN	11	case	48	of	O	3	5	of	0	0
48	NNP	7	compound	49	Grace	B-ORG	3	6	Grace	0	0
49	NNP	11	nmod:poss	50	Energy	I-ORG	3	7	Energy	0	0
50	POS	7	case	51	's	E-ORG	3	8	's	0	0
51	CD	11	nummod	52	seven	S-CARDINAL	3	9	seven	0	0
52	NN	11	compound	53	board	O	3	10	board	0	0
53	NNS	4	nmod	54	seat	O	3	11	seats	0	0
54	.	3	punct	55	.	O	3	12	.	0	0
